no,gu,biz_type,project,jibun,stage_now,slug,cafe_id,bsns_pk,안전진단,안전진단_approx,정비구역지정,정비구역지정_approx,추진위,추진위_approx,조합설립,조합설립_approx,사업시행인가,사업시행인가_approx,관리처분,관리처분_approx,착공,착공_approx,준공,준공_approx
817,도봉구,재개발(주택정비형),도봉제2구역 주택재개발정비사업조합,도봉동 95,준공인가,XR80qva2,320100003000i73,11320-100003000,,,,,,20041201,,20070402,,20070420,,20210310,20230901,,20251231,
816,도봉구,가로주택정비,도봉동 625-80번지 일대 가로주택정비사업,도봉동 625-80,조합설립인가,dobong62580,320900000878P75,11320-900000878,,,,,,,,20211001,,,,,,,,
815,도봉구,가로주택정비,방학성삼빌라가로주택정비사업,방학동 343,사업시행인가,sungsam6,320900000879v30,11320-900000879,,,,,,,,20210810,,20250313,,,,,,
814,도봉구,재건축,성삼연립 주택재건축정비사업조합,방학동 636,이전고시,mmjjkkss,,,,,,,,,,,,,,,,,,
813,도봉구,재개발(주택정비형),방학동 638일대 주택정비형 재개발사업,방학동 638,정비계획 수립,dobongbanghak,320900001427z24,11320-900001427,,,,,,,,,,,,,,,,
812,도봉구,재개발(주택정비형),방학동 641일대 주택정비형 재개발사업,방학동 641,정비계획 수립,dobongbanghak2,320900001428I07,11320-900001428,,,,,,,,,,,,,,,,
811,도봉구,재개발(주택정비형),방학3구역 주택정비형 재개발사업,방학동 685,조합설립인가,banghakzone3,320900001497T02,11320-900001497,,,,,,,,,,,,,,,,
810,도봉구,재개발(주택정비형),쌍문2구역(쌍문동 81번지 일대) 주택정비형 재개발사업,쌍문동 81,추진위원회승인,sangm81,320900001419x34,11320-900001419,,,,,,20260609,,,,,,,,,,
809,도봉구,재건축,쌍문한양1차아파트 재건축사업,쌍문동 388-33,조합설립인가,hanyang1,320900001327F92,11320-900001327,,,,,,20250625,,20251230,,,,,,,,
808,도봉구,재개발(주택정비형),쌍문제1구역 주택재개발정비사업조합,쌍문동 414,이전고시,W0zS4n6n,,,,,,,,,,,,,,,,,,
807,도봉구,재개발(주택정비형),쌍문3구역 주택정비형재개발사업,쌍문동 724,조합설립인가,Tkdans,320900001233b97,11320-900001233,,,,,,,,20250926,,,,,,,,
806,도봉구,재건축,창동주공18단지아파트 재건축사업,창동 30,추진위원회승인,Changdong18,320900001542L57,11320-900001542,,,,,,,,,,,,,,,,
805,도봉구,재건축,창동상아1차아파트 재건축사업,창동 299,조합설립인가,sanga1apt,320900001461X87,11320-900001461,,,,,,,,,,,,,,,,
804,도봉구,소규모재건축,대신빌라소규모재건축사업,창동 466,사업시행인가,eotls21,320900000881w35,11320-900000881,,,,,,,,20190122,,20250410,,,,,,
803,도봉구,재개발(주택정비형),창동470구역 주택정비형 공공재개발사업(LH),창동 470,정비계획 수립,changdong470,320900001518m70,11320-900001518,,,,,,,,,,,,,,,,
802,도봉구,가로주택정비,창동 501-13번지 일원 가로주택정비사업,창동 501-13,조합설립인가,cdgaro1,320900000937Q31,11320-900000937,,,,,,,,20211231,,,,,,,,
