complex_id,band,name,lawd_cd,price_now,pred_log5y,base_factor,bear_factor,bull_factor,market_scenario_log,tier,emd_lead_months,market_scenario_note,dist_center_km,model,status
6281,84,평택센트럴자이3단지,41220,419800000,-0.2076,0.9319,0.8288,1.0849,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",6.0,-1.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",36.05,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
6290,59,평택지제역자이아파트,41220,566000000,-0.2161,0.9209,0.8158,1.0833,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",7.0,,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",36.34,D-min|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
6290,74,평택지제역자이아파트,41220,641700000,-0.2089,0.9275,0.8217,1.0912,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",7.0,,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",36.34,D-min|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
6290,84,평택지제역자이아파트,41220,711500000,-0.2233,0.9143,0.8099,1.0756,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",7.0,,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",36.34,D-min|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
6303,59,평택효성해링턴플레이스2단지,41220,281000000,-0.1408,0.996,0.8864,1.1597,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",6.0,-2.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",39.44,D-jm-m3-jr-st|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
6303,74,평택효성해링턴플레이스2단지,41220,320000000,-0.1322,1.0046,0.8941,1.1697,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",6.0,-2.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",39.44,D-jm-m3-jr-st|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
6303,84,평택효성해링턴플레이스2단지,41220,356900000,-0.1539,0.9831,0.8749,1.1446,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",6.0,-2.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",39.44,D-jm-m3-jr-st|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
2235,59,포레나노원 아파트,11350,987500000,0.0529,1.2093,1.0754,1.4079,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,-1.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",7.26,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
2235,74,포레나노원 아파트,11350,1175600000,0.06,1.2181,1.0833,1.4192,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,-1.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",7.26,D-jm-m3|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
2235,84,포레나노원 아파트,11350,1247500000,0.0438,1.1983,1.0657,1.395,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,-1.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",7.26,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
6570,74,푸르지오1차대우,41273,542200000,-0.0843,1.0542,0.9375,1.2273,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,-1.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",13.01,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
6570,84,푸르지오1차대우,41273,647600000,-0.0745,1.0646,0.9468,1.2394,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,-1.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",13.01,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
9244,59,풍무유현마을신동아,41570,306900000,0.0667,1.2218,1.0824,1.4374,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",6.0,0.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",9.58,D-min|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
9244,84,풍무유현마을신동아,41570,349700000,0.0646,1.2193,1.0801,1.4344,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",6.0,0.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",9.58,D-min|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
4454,59,프라이어팰리스,11740,1586000000,0.0619,1.2201,1.0851,1.4205,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",2.0,1.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",0.43,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
4454,84,프라이어팰리스,11740,1721500000,0.0901,1.255,1.1161,1.4611,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",2.0,1.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",0.43,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
7341,84,플루리움2단지,41360,668500000,0.0171,1.1666,1.0375,1.3582,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,1.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",5.93,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
7340,84,플루리움3단지,41360,696562500,0.0584,1.2117,1.0734,1.4255,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,1.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",5.93,D-min|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
7342,84,플루리움45단지아파트,41360,720500000,0.0089,1.1572,1.0291,1.3472,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,1.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",5.93,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
6860,84,하늘마을2단지,41285,413000000,0.03,1.1818,1.051,1.3759,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",6.0,0.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",13.37,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
6849,84,하늘마을5단지아파트,41285,456800000,0.0605,1.2185,1.0836,1.4186,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",6.0,0.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",12.86,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
6091,59,하안주공10단지,41210,743700000,0.0262,1.1774,1.0471,1.3707,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,0.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",5.49,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
6091,74,하안주공10단지,41210,938000000,0.0275,1.1788,1.0484,1.3724,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,0.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",5.49,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
6092,59,하안주공4단지,41210,710500000,0.017,1.1665,1.0374,1.3581,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,0.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",5.31,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
6098,59,하안주공5단지,41210,640400000,0.0094,1.1577,1.0296,1.3478,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,0.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",5.69,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
6098,74,하안주공5단지,41210,824000000,0.0167,1.1662,1.0372,1.3578,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,0.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",5.69,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
6096,59,하안주공7단지,41210,703000000,0.0405,1.1943,1.0621,1.3904,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,0.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",4.94,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
6090,59,하안주공9단지,41210,695000000,0.0431,1.1974,1.0649,1.3941,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,0.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",5.68,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
5687,59,한가람세경,41173,671800000,0.0662,1.2254,1.0898,1.4267,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,0.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",3.24,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
5688,59,한가람신라,41173,731600000,0.0757,1.2371,1.1002,1.4403,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,0.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",3.07,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
1282,59,한가람아파트,11170,2492000000,0.1619,1.3484,1.1992,1.5698,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",1.0,0.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",0.12,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
1282,84,한가람아파트,11170,2898000000,0.1589,1.3445,1.1957,1.5652,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",1.0,0.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",0.12,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
5642,59,한라비발디,41171,468600000,0.1256,1.3004,1.1565,1.5139,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",5.0,-2.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",2.1,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
5642,84,한라비발디,41171,563000000,0.1252,1.2998,1.156,1.5133,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",5.0,-2.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",2.1,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
7126,74,한라비발디아파트,41310,694000000,-0.0083,1.1375,1.0116,1.3243,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,1.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",9.18,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
7126,84,한라비발디아파트,41310,746100000,-0.0069,1.139,1.013,1.3261,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,1.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",9.18,D|lam=0.3|relative,SCENARIO_WALKFORWARD_v0.1
3297,59,항동하버라인3단지,11530,679400000,-0.0195,1.121,0.993,1.3187,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",7.45,D-min|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
3297,84,항동하버라인3단지,11530,820000000,-0.0421,1.0959,0.9708,1.2893,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",4.0,,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",7.45,D-min|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
8879,59,해솔마을 7단지 롯데캐슬,41480,420700000,-0.0042,1.1382,1.0083,1.339,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",6.0,-1.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",18.66,D-min|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
8879,84,해솔마을 7단지 롯데캐슬,41480,471800000,-0.0025,1.1401,1.01,1.3413,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",6.0,-1.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",18.66,D-min|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
8862,59,해솔마을5단지 삼부르네상스,41480,335700000,0.0165,1.162,1.0294,1.3671,"{""bear"": 0.1057, ""base"": 0.1368, ""bull"": 0.1988}",6.0,0.0,"전세가율×금리 조건부(지금 전세가율 0.53·금리 2.5, 유사 진입연도 ['201103', '201106', '201109', '201112', '201203', '201206'])",19.04,D-min|lam=0.3|relative,SCENARIO_FALLBACK_v0.1
