complex_id,complex_name,lawd_cd,gu,project,biz_type,stage,jibun,meters
3272,서울가든빌라,11530,구로구,서울가든빌라 주택재건축정비사업,재건축,조합설립인가,오류동 97-4,108.1
3278,천왕연지마을1단지 아파트,11530,구로구,오류동 현대연립 주택재건축정비사업조합,재건축,관리처분인가,오류동 156-15,122.4
3349,남서울 무지개,11545,금천구,무지개아파트 일대 재건축 정비사업 조합,재건축,사업시행인가,시흥동 109,64.8
3353,시흥현대빌라,11545,금천구,현대빌라 재건축정비사업,재건축,추진위원회승인,시흥동 982,68.1
3331,시흥 중앙하이츠빌라,11545,금천구,석수빌라 소규모 재건축 사업 조합,소규모재건축,사업시행인가,시흥동 1004,54.9
2180,공릉태릉우성,11350,노원구,공릉1(태릉현대) 주택재건축정비사업조합,재건축,조합해산,공릉동 230,51.4
2287,상계보람,11350,노원구,상계보람아파트 재건축정비사업,재건축,추진위원회승인,상계동 639,152.7
2258,상계주공9단지,11350,노원구,상계주공8단지 주택재건축정비사업 조합,재건축,조합해산,상계동 677,148.0
2254,상계주공6단지,11350,노원구,상계주공6단지아파트 재건축정비사업,재건축,추진위원회승인,상계동 720,103.0
2252,상계주공5단지,11350,노원구,상계주공5단지 재건축정비사업,재건축,사업시행인가,상계동 721,22.3
2143,월계삼호4차,11350,노원구,월계삼호4차아파트 재건축사업,재건축,추진위원회승인,월계동 12,97.7
2145,월계시영고층,11350,노원구,월계시영고층아파트 재건축사업,재건축,추진위원회승인,월계동 13,190.0
2149,월계동신,11350,노원구,월계동신아파트주택재건축정비사업조합,재건축,관리처분인가,월계동 436,113.7
2149,월계동신,11350,노원구,월계동주택재건축정비사업조합,재건축,착공,월계동 487-17,116.2
2347,중계그린,11350,노원구,중계그린아파트 재건축사업,재건축,추진위원회승인,중계동 502-1,63.2
2224,하계한신동성,11350,노원구,하계한신동성아파트 재건축사업,재건축,정비계획 수립,하계동 256-5,106.7
2122,유원도봉아파트,11320,도봉구,삼환도봉아파트 재건축사업,재건축,조합설립인가,도봉동 87,78.7
2040,송학휴스테이아파트,11320,도봉구,성삼연립 주택재건축정비사업조합,재건축,이전고시,방학동 636,19.4
2020,쌍문한양1차,11320,도봉구,쌍문한양1차아파트 재건축사업,재건축,조합설립인가,쌍문동 388-33,184.5
2099,창동주공18단지,11320,도봉구,창동주공18단지아파트 재건축사업,재건축,추진위원회승인,창동 30,145.7
2093,창동상아1차,11320,도봉구,창동상아1차아파트 재건축사업,재건축,조합설립인가,창동 299,59.2
2102,창동주공1단지,11320,도봉구,창동 신건영빌리지 일대 가로주택정비사업조합,가로주택정비,조합설립인가,창동 715-25,110.4
1615,장안현대,11230,동대문구,장안동 현대아파트 재건축정비사업조합,재건축,관리처분인가,장안동 95-1,107.5
1616,장안현대힐스테이트,11230,동대문구,장안시영2단지2차 주택재건축정비사업 조합 청산법인,재건축,조합청산,장안동 329-2,119.4
1551,제기현대,11230,동대문구,제기1주택재건축정비구역(지정개발자방식),재건축,착공,제기동 892-68,99.4
1627,청량리미주,11230,동대문구,청량리미주아파트 주택재건축정비사업,재건축,조합설립인가,청량리동 235-1,61.1
3600,신동아갯마을아파트,11590,동작구,동작1 주택재건축 조합,재건축,착공,동작동 102,66.4
3577,극동강변아파트,11590,동작구,극동강변소규모재건축정비사업조합,소규모재건축,조합설립인가,본동 148-2,24.3
3617,사당휴먼시아,11590,동작구,사당5주택재건축정비사업조합,재건축,사업시행인가,사당동 303,80.4
3551,상도동 롯데캐슬 비엔,11590,동작구,상도동 약수터지역주택조합 추진위원회,지역주택,,상도동 210-110,203.7
2634,공덕현대,11440,마포구,공덕현대아파트 소규모재건축정비사업 조합,소규모재건축,사업시행인가,공덕동 370-9,55.2
2652,마포도화우성아파트,11440,마포구,도화우성아파트 재건축정비사업,재건축,정비계획 수립,도화동 82,86.1
2735,성산시영아파트,11440,마포구,성산시영아파트 재건축정비사업조합,재건축,조합설립인가,성산동 446,67.3
2599,월드컵현대,11410,서대문구,북가좌제6구역 주택재건축정비사업조합,재건축,조합설립인가,북가좌동 372-1,142.9
2563,홍제한양,11410,서대문구,서강빌라 소규모재건축정비사업,소규모재건축,조합해산,홍제동 90-6,35.2
2558,인왕산현대,11410,서대문구,홍제3구역주택재건축정비사업조합,재건축,관리처분인가,홍제동 104-41,125.0
3873,래미안원베일리,11650,서초구,반포경남아파트 주택재건축 정비사업,재건축,추진위원회승인,반포동 1-8,129.4
