complex_id,complex_name,lawd_cd,sigun,zone_name,biz_type,biz_step,addr,lat,lon,match_meters,match_by,existing_far,planned_far,existing_households,정비구역지정,추진위,안전진단,조합설립,사업시행인가,관리처분,착공,준공
5758,호계럭키,41173,안양시,호계럭키아파트,재건축,예정구역,경기도 안양시 동안구 호계동 570,37.376110230466466,126.95147327024696,35.4,이름+세대수,210.90%,250%,794,,,20240322,,,,,
5646,박달신안,41171,안양시,박달신안아파트,재건축,추진위원회,경기도 안양시 박달동 152,37.40098652236965,126.89974478677982,60.6,이름,201%,,385,,20250630,,,,,,
5616,럭키석수,41171,안양시,석수럭키아파트,재건축,정비구역,경기도 안양시 만안구 석수동 296,37.40937759454323,126.90786438527175,64.4,세대수,235.70%,280%,735,20250312,20250502,20210917,,,,,
5604,진흥5차아파트,41171,안양시,진흥5차아파트,재건축,정비구역,경기도 안양시 만안구 안양동 908-4,37.40063905606146,126.91145958929513,70.0,이름+세대수,183.50%,250%,432,20250124,20250818,20210830,,,,,
5596,안양벽산,41171,안양시,벽산아파트,재건축,정비구역,경기도 안양시 만안구 안양동 627-72,37.39639314394855,126.92220150680635,81.1,세대수,228.70%,270%/800%,275,20250213,,20210831,,,,,
5685,관양현대,41173,안양시,현대아파트,재건축,조합설립,경기도 안양시 동안구 관양동 1396,37.40775008748175,126.95812360257703,39.8,세대수,186%,300%,904,20250404,,20180820,,,,,
5665,미륭아파트,41173,안양시,미륭아파트,재건축,관리처분,경기도 안양시 동안구 비산동 406,37.39846262133673,126.9431100804426,179.1,이름+세대수,255%,300%,576,20201216,20210527,20010221,,,20221027,,
5641,박달1차한신휴플러스,41171,안양시,박달1동 연합지구,재건축,준공,경기도 안양시 만안구 박달동 37,37.405013107270705,126.9060788672696,97.6,이름,128%,262%,313,,20060424,19991101,,,20061027,20070921,20091202
5641,박달1차한신휴플러스,41171,안양시,박달1동 연합지구,재건축,준공,경기도 안양시 만안구 박달동 37,37.405013107270705,126.9060788672696,97.6,이름,128%,262%,313,,20060424,19991101,,,20061027,20070921,20091202
8261,마평우성,41461,용인시,마평1,주거환경개선,준공,경기도 용인시 처인구 마평동 732,37.23646331837924,127.21092185386844,365.5,세대수,230%,230%,352,20190201,20171227,,,,,20190712,20220317
8338,구갈한양,41463,용인시,기흥7,재건축,예정구역,경기도 용인시 기흥구 구갈동 396,37.27892338432154,127.11250332617247,106.2,세대수,250%,290%,624,,,20240426,,,,,
8220,역북신원아침도시아파트,41461,용인시,김량주공아파트(용인1구역),재건축,준공,경기도 용인시 처인구 김량장동 526,37.23643363548176,127.1968563061276,241.4,세대수,90%,220%,450,20060506,20060711,20021127,,,20061023,20070626,20091124
8340,구갈풍림저층,41463,용인시,기흥3,재건축,예정구역,경기도 용인시 기흥구 구갈동 385,37.2769215650918,127.11273759526318,55.8,세대수,250%,290%,205,,,20250228,,,,,
8315,드림랜드,41463,용인시,기흥4,재건축,예정구역,경기도 용인시 기흥구 신갈동 116-2,37.280140633869024,127.10993724554966,12.1,세대수,240%,290%,299,,,20230331,,,,,
8333,기흥동부아파트,41463,용인시,기흥5,재건축,예정구역,경기도 용인시 기흥구 구갈동 384-1,37.276589846189026,127.11495539682466,55.0,세대수,250%,290%,200,,,20240223,,,,,
8337,구갈한성1차,41463,용인시,기흥1,재건축,추진위원회,경기도 용인시 기흥구 구갈동 380,37.27891828485077,127.1147583551236,93.5,세대수,290%,290%,570,20250124,20250411,20211219,,,,,
8336,구갈한성2차,41463,용인시,기흥2,재건축,추진위원회,경기도 용인시 기흥구 구갈동 385-1,37.27623494149819,127.1131879534563,18.2,세대수,250%,290%,384,20250124,20250404,20220123,,,,,
8545,수지4차삼성,41465,용인시,수지1,재건축,추진위원회,경기도 용인시 수지구 풍덕천동 663-1,37.330821885796176,127.09395402250995,109.4,세대수,250%,290%,1137,20250402,20250718,20220421,,,,,
8544,수지2차삼성,41465,용인시,수지3,재건축,추진위원회,경기도 용인시 수지구 풍덕천동 692-1,37.32718457883385,127.0913746347143,10.0,세대수,250%,290%,420,20250124,20250422,20220610,,,,,
8544,수지2차삼성,41465,용인시,수지2,재건축,조합설립,경기도 용인시 수지구 풍덕천동 698-2,37.32486952392418,127.09311064561328,298.2,이름,250%,290%,774,20250124,20250917,20220421,,,,,
8080,인덕원삼호,41430,의왕시,인덕원삼호아파트,재건축,예정구역,경기도 의왕시 포일동 441-2번지 일원,37.397013698274264,126.98100858886788,43.1,이름+세대수,247.10%,270%,684,,,20240320,,,,,
5428,신곡신일1차,41150,의정부시,장암3구역,재개발,착공,경기도 의정부시 신곡동 435-3번지 일원,37.73519670576913,127.0598610496204,276.1,세대수,100~200%,300%,460,20100412,20080617,,20111027,20181227,20210527,20231024,
6150,서정주공3단지,41220,평택시,서정주공1,재건축,준공,경기도 평택시 서정동 241,37.06045298821206,127.0587375046209,64.1,이름,80%,230%,582,,20030623,20030612,,20060321,20061027,20070806,20100129
6146,세경아파트,41220,평택시,서정연립,재건축,준공,경기도 평택시 서정동 780,37.06968503298819,127.06071396999744,148.1,세대수,50%,228%,420,20150203,20130502,20100916,,20180703,20200207,20210917,20240902
6232,합정주공4단지,41220,평택시,합정주공,재건축,착공,경기도 평택시 합정동 835,36.99005172913911,127.09637502067346,369.3,이름,104%,299%,1374,20201203,20180321,20160817,,20210629,20220506,20240624,
