kind,sido,sigungu,name,area_k_m2,industry_k_m2,designated,note,source_file
일반,충남,공주시,송선일반산업단지,314,189,2013-12-30,2021-04-30,한국산업단지공단_전국산업단지현황통계_20210630.xlsx
일반,경남,밀양시,용전2일반산업단지,279,174,2014-06-05,2019-07-18 00:00:00,한국산업단지공단_전국산업단지현황통계_2019년3분기.xlsx
일반,경남,사천시,금진일반산업단지,298,188,2015-07-30,2024-10-10,한국산업단지공단_전국산업단지현황통계_20241231.xlsx
일반,경기,안성시,노곡일반산업단지,73,48,2015-08-21,2023-03-15,한국산업단지공단_전국산업단지현황통계_20230331.xlsx
농공,전남,고흥군,대서농공단지,150,90,2015-12-14,,한국산업단지공단_전국산업단지현황통계_20240930.xlsx
일반,경북,경주시,제내일반산업단지,374,257,2015-12-28,2020-06-11 00:00:00,한국산업단지공단_전국산업단지현황통계_20200630.xlsx
일반,경남,김해시,미래테크일반산업단지,121,64,2016-03-03,2019-07-12 00:00:00,한국산업단지공단_전국산업단지현황통계_2019년3분기.xlsx
일반,경남,김해시,죽곡일반산업단지,96,55,2016-09-13,2021-09-24 00:00:00,한국산업단지공단_전국산업단지현황통계_20210930.xlsx
일반,경남,함안군,함안그린테크밸리일반산업단지,126,82,2016-09-28,2020-01-02,한국산업단지공단_전국산업단지현황통계_20200617.xlsx
일반,경남,양산시,주남일반산업단지,221,118,2017-06-22,2020-08-27 00:00:00,한국산업단지공단_전국산업단지현황통계_20200917.xlsx
일반,경남,함안군,성호일반산업단지,157,102,2017-06-29,2020-01-02,한국산업단지공단_전국산업단지현황통계_20200617.xlsx
일반,울산,울주군,방기일반산업단지,136,98,2017-08-03,2022-11-03,한국산업단지공단_전국산업단지현황통계_20221231.xlsx
일반,경기,이천시,무촌일반산업단지,54,48,2017-09-28,2020-08-31 00:00:00,한국산업단지공단_전국산업단지현황통계_20200917.xlsx
일반,경남,김해시,원지일반산업단지,219,153,2017-12-28,2024-08-01,한국산업단지공단_전국산업단지현황통계_20240930.xlsx
농공,강원,홍천군,북방농공단지,101,72,2018-01-09,2019-03-27 00:00:00,한국산업단지공단_전국산업단지현황통계_2019년1분기.xlsx
일반,충북,충주시,북부산업단지,1401,851,2018-06-08,,한국산업단지공단_전국산업단지현황통계_2018년2분기.xlsx
일반,충남,공주시,쌍신일반산업단지,226,137,2018-08-06,,한국산업단지공단_전국산업단지현황통계_2018년3분기.xlsx
일반,경남,함안군,군북유현일반산업단지,75,49,2018-08-23,,한국산업단지공단_전국산업단지현황통계_2018년3분기.xlsx
일반,경북,고령군,송곡일반산업단지,272,176,2018-10-11,,한국산업단지공단_전국산업단지현황통계_2018년4분기.xlsx
일반,경기,파주시,파주센트럴밸리일반산업단지,491,301,2018-11-13,,한국산업단지공단_전국산업단지현황통계_2018년4분기.xlsx
일반,경기,평택시,평택BIX일반산업단지(황해경제자유구역),1040,782,2018-11-21,,한국산업단지공단_전국산업단지현황통계_2018년4분기.xlsx
농공,전북,완주군,완주농공단지,298,238,2018-11-22,,한국산업단지공단_전국산업단지현황통계_2018년4분기.xlsx
일반,경기,평택시,유창일반산업단지(구 유창),280,193,2018-11-23,,한국산업단지공단_전국산업단지현황통계_2018년4분기.xlsx
일반,울산,울주군,청양일반산업단지,201,135,2018-12-13,,한국산업단지공단_전국산업단지현황통계_2018년4분기.xlsx
일반,경남,사천시,용당(항공MRO)일반산업단지,149,97,2018-12-13,,한국산업단지공단_전국산업단지현황통계_2018년4분기.xlsx
농공,충남,청양군,경산2농공단지,187,124,2018-12-21,,한국산업단지공단_전국산업단지현황통계_2018년4분기.xlsx
일반,경남,창녕군,대성하이스코일반산업단지,72,47,2018-12-27,,한국산업단지공단_전국산업단지현황통계_2018년4분기.xlsx
일반,경기,시흥시,광명시흥일반산업단지,975,467,2018-12-28,,한국산업단지공단_전국산업단지현황통계_2018년4분기.xlsx
일반,충남,아산시,염치일반산업단지,306,205,2018-12-31,,한국산업단지공단_전국산업단지현황통계_2018년4분기.xlsx
도시첨단,경기,광명시,광명시흥첨단R&D도시첨단산업단지,494,137,2019-04-30,,한국산업단지공단_전국산업단지현황통계_2019년2분기.xlsx
일반,경기,안성시,안성중소기업일반산업단지,707,430,2019-05-21,,한국산업단지공단_전국산업단지현황통계_2019년2분기.xlsx
일반,충북,음성군,맹동인곡산업단지,1716,909,2019-05-31,,한국산업단지공단_전국산업단지현황통계_2019년2분기.xlsx
일반,경기,용인시,제일일반산업단지,56,46,2019-07-01,,한국산업단지공단_전국산업단지현황통계_2019년3분기.xlsx
일반,경기,안성시,안성하이랜드산업단지,293,205,2019-07-15,,한국산업단지공단_전국산업단지현황통계_2019년3분기.xlsx
국가,전북,군산시,새만금지구산업단지,18495,8608,2019-08-02,,한국산업단지공단_전국산업단지현황통계_2019년3분기.xlsx
농공,충남,보령시,청라농공,67,44,2019-08-09,,한국산업단지공단_전국산업단지현황통계_2019년3분기.xlsx
국가,경기,동두천시,동두천국가산업단지,267,185,2019-09-05,,한국산업단지공단_전국산업단지현황통계_2019년3분기.xlsx
국가,전북,전주시,전주탄소소재국가산업단지,656,379,2019-09-05,,한국산업단지공단_전국산업단지현황통계_2019년3분기.xlsx
일반,경남,고성군,이당일반산업단지,131,69,2019-09-19,,한국산업단지공단_전국산업단지현황통계_2019년3분기.xlsx
일반,충북,음성군,성안제2산업단지,802,186,2019-10-04,,한국산업단지공단_전국산업단지현황통계_2019년4분기.xlsx
일반,세종,세종시,전동일반산업단지,140,87,2019-10-10,,한국산업단지공단_전국산업단지현황통계_2019년4분기.xlsx
일반,충남,천안시,천안북부BIT일반산업단지,875,537,2019-10-16,,한국산업단지공단_전국산업단지현황통계_2019년4분기.xlsx
일반,경기,화성시,동진일반산업단지,183,131,2019-11-04,,한국산업단지공단_전국산업단지현황통계_2019년4분기.xlsx
