complex_id,complex_name,lawd_cd,region,project_name,project_type,option_stage,option_stage_label,stage_verification,stage_source,stage_label_raw,match_meters,existing_far,existing_households,site_area,land_share,base_allowed_far,policy_allowed_far,upside_allowed_far,estimated_new_households,member_households,general_sale_units,general_sale_ratio,estimated_member_contribution,contribution_status,years_to_next_stage,years_to_completion,project_probability,probability_status,base_case_liquid_exit,project_case_liquid_exit,upside_case_liquid_exit,base_terminal_wealth,project_terminal_wealth,upside_terminal_wealth,net_project_upside,option_value,option_already_priced_ratio,option_data_confidence,option_research_status,option_research_priority
2258,상계주공9단지,11350,서울,상계주공8단지 주택재건축정비사업 조합,재건축,8,NEAR_COMPLETE,VERIFIED,서울 정비사업 정보몽땅,조합해산,148.0,182.5839643684203,N/A,N/A,34.820424028268555,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED_ONLY,HIGH
3911,서초그랑자이,11650,서울,서초무지개아파트 재건축정비사업 조합,재건축,8,NEAR_COMPLETE,VERIFIED,서울 정비사업 정보몽땅,조합청산,143.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED_ONLY,HIGH
2040,송학휴스테이아파트,11320,서울,성삼연립 주택재건축정비사업조합,재건축,8,NEAR_COMPLETE,VERIFIED,서울 정비사업 정보몽땅,이전고시,19.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED_ONLY,HIGH
3836,신반포르엘,11650,서울,신반포18차24차 주택재건축정비사업조합,재건축,8,NEAR_COMPLETE,VERIFIED,서울 정비사업 정보몽땅,조합청산,47.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED_ONLY,HIGH
3843,신반포자이아파트,11650,서울,반포한양아파트 주택재건축정비사업조합,재건축,8,NEAR_COMPLETE,VERIFIED,서울 정비사업 정보몽땅,조합청산,87.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED_ONLY,HIGH
4038,아크로삼성,11680,서울,홍실아파트 주택재건축정비사업조합,재건축,8,NEAR_COMPLETE,VERIFIED,서울 정비사업 정보몽땅,준공인가,145.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED_ONLY,HIGH
3980,역삼래미안펜타빌,11680,서울,개나리4차아파트주택재건축정비사업 조합,재건축,8,NEAR_COMPLETE,VERIFIED,서울 정비사업 정보몽땅,이전고시,55.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED_ONLY,HIGH
2914,염창현대아이파크아파트,11500,서울,덕수연립주택재건축정비사업조합,재건축,8,NEAR_COMPLETE,VERIFIED,서울 정비사업 정보몽땅,조합해산,122.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED_ONLY,HIGH
3830,오티에르반포,11650,서울,신반포21차아파트 주택재건축정비사업조합,재건축,8,NEAR_COMPLETE,VERIFIED,서울 정비사업 정보몽땅,준공인가,28.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED_ONLY,HIGH
3829,오티에르신반포,11650,서울,신반포18차 337동 주택재건축정비사업조합,재건축,8,NEAR_COMPLETE,VERIFIED,서울 정비사업 정보몽땅,준공인가,44.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,N/A,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NOT_CALCULATED,N/A,MEDIUM,STAGE_MAPPED_ONLY,HIGH
