lawd_cd,ym,supply_hh,req_cnt,cmpet_rate,n_types
41650,202107,399,112,0.28,4
41650,202109,378,2920,7.72,5
41650,202308,211,1,0.0,5
41670,202006,555,522,0.94,4
41670,202010,515,596,1.16,8
41670,202011,719,1097,1.53,9
41670,202110,88,472,5.36,3
41670,202405,537,1979,3.69,7
41670,202506,734,68,0.09,6
41800,202105,462,172,0.37,6
41800,202204,809,228,0.28,8
41820,202008,167,3,0.02,8
41820,202101,746,1504,2.02,14
41820,202109,320,635,1.98,5
41820,202203,94,26,0.28,4
41820,202410,910,132,0.15,17
41820,202603,1034,2,0.0,10
41830,202007,621,308,0.5,10
41830,202009,644,112,0.17,9
41830,202011,699,172,0.25,3
41830,202102,566,954,1.69,6
41830,202104,233,2249,9.65,3
41830,202109,164,141,0.86,5
41830,202111,56,101,1.8,4
41830,202206,357,185,0.52,6
41830,202405,191,5,0.03,4
41830,202511,439,58,0.13,8
