follower_id,follower_band,leader_id,leader_band,kind,months,current_ratio,hist_p10,hist_p25,hist_median,hist_p75,hist_p90,regime_now,regime_normal,normal_used,normal_basis,observed_gap,structural_gap,recoverable_gap,structural_flags,episodes,successes,transmission_p,transmission_status,catchup_median,leader_move,follower_start,mispricing,mispricing_status,size_premium,follower_name,leader_name
7750,84,7743,84,LOCAL,82,1.0857843137254901,0.9334050251256282,0.985390103217972,1.026209677419355,1.0534979423868314,1.0862579762989972,바닥형성,1.04,1.04,현 국면(바닥형성) 과거 중앙값,-0.044023378582202,0.0,0.0,,1,1,1.0,PROXY,2.0,PARTIAL,P25↑|Median↑|거래량↑|Gap 축소,0.0,PROXY,,네이처하임 아파트,목감 호반써밋 더레이크
7750,84,7936,84,UPPER_GRADE,105,0.8180449069003286,0.7946841913106973,0.8409090909090909,0.86,0.9175627240143369,0.9390243902439024,바닥형성,0.856760374832664,0.856760374832664,현 국면(바닥형성) 과거 중앙값,0.0451882102272727,0.004518821022727271,0.04066938920454543,학군(학원가 밀도 격차),1,1,1.0,PROXY,2.0,CONFIRMED,P25↑|Median↑|거래량↑,0.04066938920454543,PROXY(구조 플래그),,네이처하임 아파트,산본이편한세상센트럴파크
3540,59,3543,59,LOCAL,190,,0.7581250410886858,0.8179378531073447,0.891640866873065,0.93974315250595,0.9657008547008548,하락전환,0.7553763440860215,0.7553763440860215,현 국면(하락전환) 과거 중앙값,,,,세대수(대단지) 격차,4,3,0.75,VERIFIED,1.7239499999999999,PARTIAL,,,NOT_CALCULATED,,노량진삼익,신동아리버파크
3540,59,2623,59,GRADE,112,,0.4175584415584416,0.45878136200716846,0.4852941176470588,0.5177304964539007,0.5449977247530833,하락전환,0.4691151919866444,0.4691151919866444,현 국면(하락전환) 과거 중앙값,,,,연식·상품성 격차|세대수(대단지) 격차,4,3,0.75,VERIFIED,1.6397,PARTIAL,,,NOT_CALCULATED,,노량진삼익,마포래미안푸르지오
3540,59,1282,59,UPPER_GRADE,193,,0.4081642712091639,0.4438216743119266,0.48426150121065376,0.551351215591722,0.5771650564689135,하락전환,0.44462025316455694,0.44462025316455694,현 국면(하락전환) 과거 중앙값,,,,세대수(대단지) 격차,5,4,0.8,VERIFIED,1.9466,PARTIAL,,,NOT_CALCULATED,,노량진삼익,한가람아파트
3540,84,1280,84,UPPER_GRADE,167,0.3265103075363298,0.36245689655172414,0.4002166839639842,0.4425033058691893,0.4743876074255391,0.49760956175298804,하락전환,0.4177777777777778,0.4177777777777778,현 국면(하락전환) 과거 중앙값,0.21845937025878506,0.021845937025878504,0.19661343323290656,세대수(대단지) 격차,5,4,0.8,VERIFIED,2.0,NONE,,0.015729074658632526,PROXY(구조 플래그),,노량진삼익,한강대우
3540,84,2654,59,BUYER_CHOICE,153,0.9085783351907954,0.8491417971298107,0.9028571428571428,0.950374842984654,1.0459183673469388,1.2094174757281553,하락전환,0.98,0.98,현 국면(하락전환) 과거 중앙값,0.07287924980531076,0.007287924980531074,0.06559132482477968,세대수(대단지) 격차,4,4,1.0,VERIFIED,2.0,NONE,,0.006559132482477969,PROXY(구조 플래그),1.5992899679340358,노량진삼익,마포한화오벨리스크
3542,59,3543,59,LOCAL,154,1.1148824838328348,1.1647544573037223,1.2255537890832007,1.2698412698412698,1.2884359026323493,1.3111626681536923,하락전환,1.2410394265232976,1.2410394265232976,현 국면(하락전환) 과거 중앙값,0.10165425851448116,0.010165425851448112,0.09148883266303305,세대수(대단지) 격차,3,3,1.0,VERIFIED,2.0,PARTIAL,P25↑|Median↑|거래량↑,0.03202109143206157,PROXY(구조 플래그),,노량진쌍용예가,신동아리버파크
3542,59,2623,59,GRADE,120,0.7705786606431039,0.6696704970601666,0.699228791773779,0.7259842519685039,0.7383177570093458,0.7774294670846394,하락전환,0.7373417721518988,0.7373417721518988,현 국면(하락전환) 과거 중앙값,-0.04507663846875884,0.0,0.0,세대수(대단지) 격차,3,3,1.0,VERIFIED,2.0,PARTIAL,P25↑|Median↑|거래량↑|Gap 축소,0.0,PROXY(구조 플래그),,노량진쌍용예가,마포래미안푸르지오
3542,59,1282,59,UPPER_GRADE,154,0.6563432491154513,0.6270739373517339,0.6538989687680197,0.6946386946386947,0.7439585859946998,0.7622628020155907,하락전환,0.6813186813186813,0.6813186813186813,현 국면(하락전환) 과거 중앙값,0.03665748920151509,0.003665748920151507,0.032991740281363584,세대수(대단지) 격차,3,3,1.0,VERIFIED,2.0,PARTIAL,P25↑|Median↑|거래량↑,0.011547109098477254,PROXY(구조 플래그),,노량진쌍용예가,한가람아파트
