ym,sido,sigungu,lawd_cd,level,unsold
200701,경기,안성시,41550,시군구,619
200701,경기,김포시,41570,시군구,119
200701,경기,양주시,41630,시군구,
200701,경기,여주시,41670,시군구,167
200701,경기,화성시,41591,시(구 합산),117
200701,경기,화성시,41593,시(구 합산),117
200701,경기,화성시,41595,시(구 합산),117
200701,경기,화성시,41597,시(구 합산),117
200701,경기,화성시,41590,시(구 합산),117
200701,경기,광주시,41610,시군구,87
200701,경기,연천군,41800,시군구,262
200701,경기,포천시,41650,시군구,231
200701,경기,가평군,41820,시군구,
200701,경기,양평군,41830,시군구,
200701,강원,계,,시도,5312
200701,충북,계,,시도,2548
200701,충남,계,,시도,7449
200701,전북,계,,시도,5179
200701,전남,계,,시도,5374
200701,경북,계,,시도,6210
200701,경남,계,,시도,11772
200701,제주,계,,시도,77
200702,서울,계,,시도,590
200702,서울,종로구,11110,시군구,
200702,서울,중구,11140,시군구,
200702,서울,용산구,11170,시군구,
200702,서울,성동구,11200,시군구,
200702,서울,광진구,11215,시군구,107
200702,서울,동대문구,11230,시군구,
200702,서울,중랑구,11260,시군구,
200702,서울,성북구,11290,시군구,404
200702,서울,강북구,11305,시군구,
200702,서울,도봉구,11320,시군구,
200702,서울,노원구,11350,시군구,
200702,서울,은평구,11380,시군구,
200702,서울,서대문구,11410,시군구,
200702,서울,마포구,11440,시군구,
200702,서울,양천구,11470,시군구,79
200702,서울,강서구,11500,시군구,
200702,서울,구로구,11530,시군구,
200702,서울,금천구,11545,시군구,
200702,서울,영등포구,11560,시군구,
200702,서울,동작구,11590,시군구,
200702,서울,관악구,11620,시군구,
200702,서울,서초구,11650,시군구,
200702,서울,강남구,11680,시군구,
200702,서울,송파구,11710,시군구,
200702,서울,강동구,11740,시군구,
200702,부산,계,,시도,8576
200702,대구,계,,시도,9134
200702,인천,계,,시도,312
200702,인천,중구,28110,시군구,0
200702,인천,동구,28140,시군구,0
200702,인천,미추홀구,28177,시군구,38
200702,인천,연수구,28185,시군구,0
200702,인천,남동구,28200,시군구,17
200702,인천,부평구,28237,시군구,68
200702,인천,계양구,28245,시군구,2
200702,인천,서구,28260,시군구,178
200702,인천,강화군,28710,시군구,9
200702,인천,옹진군,28720,시군구,
200702,광주,계,,시도,6246
200702,대전,계,,시도,803
200702,울산,계,,시도,1210
200702,경기,계,,시도,3361
200702,경기,수원시,41111,시(구 합산),145
200702,경기,수원시,41113,시(구 합산),145
200702,경기,수원시,41115,시(구 합산),145
200702,경기,수원시,41117,시(구 합산),145
200702,경기,성남시,41131,시(구 합산),0
200702,경기,성남시,41133,시(구 합산),0
200702,경기,성남시,41135,시(구 합산),0
200702,경기,의정부시,41150,시군구,86
200702,경기,안양시,41171,시(구 합산),0
200702,경기,안양시,41173,시(구 합산),0
200702,경기,부천시,41192,시(구 합산),88
200702,경기,부천시,41194,시(구 합산),88
200702,경기,부천시,41196,시(구 합산),88
200702,경기,부천시,41190,시(구 합산),88
200702,경기,광명시,41210,시군구,0
200702,경기,평택시,41220,시군구,132
200702,경기,동두천시,41250,시군구,0
200702,경기,안산시,41271,시(구 합산),0
200702,경기,안산시,41273,시(구 합산),0
200702,경기,고양시,41281,시(구 합산),12
200702,경기,고양시,41285,시(구 합산),12
200702,경기,고양시,41287,시(구 합산),12
200702,경기,과천시,41290,시군구,0
200702,경기,구리시,41310,시군구,26
200702,경기,남양주시,41360,시군구,178
200702,경기,오산시,41370,시군구,433
200702,경기,시흥시,41390,시군구,69
200702,경기,군포시,41410,시군구,0
200702,경기,의왕시,41430,시군구,0
200702,경기,하남시,41450,시군구,0
200702,경기,용인시,41461,시(구 합산),0
200702,경기,용인시,41463,시(구 합산),0
200702,경기,용인시,41465,시(구 합산),0
200702,경기,파주시,41480,시군구,0
200702,경기,이천시,41500,시군구,473
200702,경기,안성시,41550,시군구,606
200702,경기,김포시,41570,시군구,38
200702,경기,양주시,41630,시군구,256
200702,경기,여주시,41670,시군구,155
200702,경기,화성시,41591,시(구 합산),96
200702,경기,화성시,41593,시(구 합산),96
200702,경기,화성시,41595,시(구 합산),96
200702,경기,화성시,41597,시(구 합산),96
200702,경기,화성시,41590,시(구 합산),96
200702,경기,광주시,41610,시군구,
200702,경기,연천군,41800,시군구,337
200702,경기,포천시,41650,시군구,231
200702,경기,가평군,41820,시군구,
200702,경기,양평군,41830,시군구,
200702,강원,계,,시도,5344
200702,충북,계,,시도,2645
200702,충남,계,,시도,7363
200702,전북,계,,시도,5098
200702,전남,계,,시도,5253
200702,경북,계,,시도,5952
200702,경남,계,,시도,11563
200702,제주,계,,시도,96
200703,서울,계,,시도,687
200703,서울,종로구,11110,시군구,
200703,서울,중구,11140,시군구,
200703,서울,용산구,11170,시군구,
200703,서울,성동구,11200,시군구,
200703,서울,광진구,11215,시군구,187
200703,서울,동대문구,11230,시군구,
200703,서울,중랑구,11260,시군구,
200703,서울,성북구,11290,시군구,404
200703,서울,강북구,11305,시군구,
200703,서울,도봉구,11320,시군구,
200703,서울,노원구,11350,시군구,
200703,서울,은평구,11380,시군구,
200703,서울,서대문구,11410,시군구,
200703,서울,마포구,11440,시군구,
200703,서울,양천구,11470,시군구,96
200703,서울,강서구,11500,시군구,
200703,서울,구로구,11530,시군구,
200703,서울,금천구,11545,시군구,
200703,서울,영등포구,11560,시군구,
200703,서울,동작구,11590,시군구,
200703,서울,관악구,11620,시군구,
200703,서울,서초구,11650,시군구,
200703,서울,강남구,11680,시군구,
200703,서울,송파구,11710,시군구,
200703,서울,강동구,11740,시군구,
200703,부산,계,,시도,8548
200703,대구,계,,시도,9189
200703,인천,계,,시도,266
200703,인천,중구,28110,시군구,0
200703,인천,동구,28140,시군구,0
200703,인천,미추홀구,28177,시군구,0
200703,인천,연수구,28185,시군구,0
200703,인천,남동구,28200,시군구,21
200703,인천,부평구,28237,시군구,68
200703,인천,계양구,28245,시군구,2
200703,인천,서구,28260,시군구,169
200703,인천,강화군,28710,시군구,6
200703,인천,옹진군,28720,시군구,
200703,광주,계,,시도,5905
