ym,sido,sigungu,lawd_cd,level,unsold
200705,경기,의정부시,41150,시군구,105
200705,경기,안양시,41171,시(구 합산),0
200705,경기,안양시,41173,시(구 합산),0
200705,경기,부천시,41192,시(구 합산),87
200705,경기,부천시,41194,시(구 합산),87
200705,경기,부천시,41196,시(구 합산),87
200705,경기,부천시,41190,시(구 합산),87
200705,경기,광명시,41210,시군구,0
200705,경기,평택시,41220,시군구,218
200705,경기,동두천시,41250,시군구,3
200705,경기,안산시,41271,시(구 합산),0
200705,경기,안산시,41273,시(구 합산),0
200705,경기,고양시,41281,시(구 합산),0
200705,경기,고양시,41285,시(구 합산),0
200705,경기,고양시,41287,시(구 합산),0
200705,경기,과천시,41290,시군구,0
200705,경기,구리시,41310,시군구,21
200705,경기,남양주시,41360,시군구,123
200705,경기,오산시,41370,시군구,0
200705,경기,시흥시,41390,시군구,25
200705,경기,군포시,41410,시군구,0
200705,경기,의왕시,41430,시군구,0
200705,경기,하남시,41450,시군구,0
200705,경기,용인시,41461,시(구 합산),0
200705,경기,용인시,41463,시(구 합산),0
200705,경기,용인시,41465,시(구 합산),0
200705,경기,파주시,41480,시군구,0
200705,경기,이천시,41500,시군구,218
200705,경기,안성시,41550,시군구,569
200705,경기,김포시,41570,시군구,38
200705,경기,양주시,41630,시군구,211
200705,경기,여주시,41670,시군구,131
200705,경기,화성시,41591,시(구 합산),98
200705,경기,화성시,41593,시(구 합산),98
200705,경기,화성시,41595,시(구 합산),98
200705,경기,화성시,41597,시(구 합산),98
200705,경기,화성시,41590,시(구 합산),98
200705,경기,광주시,41610,시군구,
200705,경기,연천군,41800,시군구,337
200705,경기,포천시,41650,시군구,231
200705,경기,가평군,41820,시군구,
200705,경기,양평군,41830,시군구,
200705,강원,계,,시도,5212
200705,충북,계,,시도,4012
200705,충남,계,,시도,9195
200705,전북,계,,시도,4625
200705,전남,계,,시도,4640
200705,경북,계,,시도,6303
200705,경남,계,,시도,11723
200705,제주,계,,시도,156
200706,서울,계,,시도,778
200706,서울,종로구,11110,시군구,93
200706,서울,중구,11140,시군구,
200706,서울,용산구,11170,시군구,
200706,서울,성동구,11200,시군구,
200706,서울,광진구,11215,시군구,187
200706,서울,동대문구,11230,시군구,
200706,서울,중랑구,11260,시군구,
200706,서울,성북구,11290,시군구,404
200706,서울,강북구,11305,시군구,
200706,서울,도봉구,11320,시군구,
200706,서울,노원구,11350,시군구,
200706,서울,은평구,11380,시군구,
200706,서울,서대문구,11410,시군구,
200706,서울,마포구,11440,시군구,
200706,서울,양천구,11470,시군구,94
200706,서울,강서구,11500,시군구,
200706,서울,구로구,11530,시군구,
200706,서울,금천구,11545,시군구,
200706,서울,영등포구,11560,시군구,
200706,서울,동작구,11590,시군구,
200706,서울,관악구,11620,시군구,
200706,서울,서초구,11650,시군구,
200706,서울,강남구,11680,시군구,
200706,서울,송파구,11710,시군구,
200706,서울,강동구,11740,시군구,
200706,부산,계,,시도,9212
200706,대구,계,,시도,12489
200706,인천,계,,시도,883
200706,인천,중구,28110,시군구,0
200706,인천,동구,28140,시군구,0
200706,인천,미추홀구,28177,시군구,256
200706,인천,연수구,28185,시군구,0
200706,인천,남동구,28200,시군구,8
200706,인천,부평구,28237,시군구,482
200706,인천,계양구,28245,시군구,3
200706,인천,서구,28260,시군구,132
200706,인천,강화군,28710,시군구,2
200706,인천,옹진군,28720,시군구,
200706,광주,계,,시도,8272
200706,대전,계,,시도,1179
200706,울산,계,,시도,1528
200706,경기,계,,시도,3899
200706,경기,수원시,41111,시(구 합산),154
200706,경기,수원시,41113,시(구 합산),154
200706,경기,수원시,41115,시(구 합산),154
200706,경기,수원시,41117,시(구 합산),154
200706,경기,성남시,41131,시(구 합산),0
200706,경기,성남시,41133,시(구 합산),0
200706,경기,성남시,41135,시(구 합산),0
200706,경기,의정부시,41150,시군구,103
200706,경기,안양시,41171,시(구 합산),0
200706,경기,안양시,41173,시(구 합산),0
200706,경기,부천시,41192,시(구 합산),87
200706,경기,부천시,41194,시(구 합산),87
200706,경기,부천시,41196,시(구 합산),87
200706,경기,부천시,41190,시(구 합산),87
200706,경기,광명시,41210,시군구,0
200706,경기,평택시,41220,시군구,249
200706,경기,동두천시,41250,시군구,336
200706,경기,안산시,41271,시(구 합산),0
200706,경기,안산시,41273,시(구 합산),0
200706,경기,고양시,41281,시(구 합산),317
200706,경기,고양시,41285,시(구 합산),317
200706,경기,고양시,41287,시(구 합산),317
200706,경기,과천시,41290,시군구,0
200706,경기,구리시,41310,시군구,58
200706,경기,남양주시,41360,시군구,129
200706,경기,오산시,41370,시군구,0
200706,경기,시흥시,41390,시군구,17
200706,경기,군포시,41410,시군구,0
200706,경기,의왕시,41430,시군구,0
200706,경기,하남시,41450,시군구,0
200706,경기,용인시,41461,시(구 합산),0
200706,경기,용인시,41463,시(구 합산),0
200706,경기,용인시,41465,시(구 합산),0
200706,경기,파주시,41480,시군구,220
200706,경기,이천시,41500,시군구,456
200706,경기,안성시,41550,시군구,500
200706,경기,김포시,41570,시군구,119
200706,경기,양주시,41630,시군구,172
200706,경기,여주시,41670,시군구,53
200706,경기,화성시,41591,시(구 합산),311
200706,경기,화성시,41593,시(구 합산),311
200706,경기,화성시,41595,시(구 합산),311
200706,경기,화성시,41597,시(구 합산),311
200706,경기,화성시,41590,시(구 합산),311
200706,경기,광주시,41610,시군구,
200706,경기,연천군,41800,시군구,337
200706,경기,포천시,41650,시군구,231
200706,경기,가평군,41820,시군구,50
200706,경기,양평군,41830,시군구,
200706,강원,계,,시도,6642
200706,충북,계,,시도,4078
200706,충남,계,,시도,11245
200706,전북,계,,시도,4662
200706,전남,계,,시도,5168
200706,경북,계,,시도,7665
200706,경남,계,,시도,12072
200706,제주,계,,시도,152
200707,서울,계,,시도,840
200707,서울,종로구,11110,시군구,89
200707,서울,중구,11140,시군구,
200707,서울,용산구,11170,시군구,
200707,서울,성동구,11200,시군구,
200707,서울,광진구,11215,시군구,187
200707,서울,동대문구,11230,시군구,
200707,서울,중랑구,11260,시군구,
200707,서울,성북구,11290,시군구,404
200707,서울,강북구,11305,시군구,106
200707,서울,도봉구,11320,시군구,
200707,서울,노원구,11350,시군구,
200707,서울,은평구,11380,시군구,
200707,서울,서대문구,11410,시군구,
200707,서울,마포구,11440,시군구,
200707,서울,양천구,11470,시군구,50
200707,서울,강서구,11500,시군구,
200707,서울,구로구,11530,시군구,
200707,서울,금천구,11545,시군구,
200707,서울,영등포구,11560,시군구,
200707,서울,동작구,11590,시군구,
200707,서울,관악구,11620,시군구,
200707,서울,서초구,11650,시군구,4
200707,서울,강남구,11680,시군구,
200707,서울,송파구,11710,시군구,
200707,서울,강동구,11740,시군구,
200707,부산,계,,시도,9557
200707,대구,계,,시도,12179
200707,인천,계,,시도,797
200707,인천,중구,28110,시군구,0
200707,인천,동구,28140,시군구,0
200707,인천,미추홀구,28177,시군구,209
200707,인천,연수구,28185,시군구,0
200707,인천,남동구,28200,시군구,6
200707,인천,부평구,28237,시군구,454
200707,인천,계양구,28245,시군구,3
200707,인천,서구,28260,시군구,125
200707,인천,강화군,28710,시군구,0
200707,인천,옹진군,28720,시군구,
200707,광주,계,,시도,7186
200707,대전,계,,시도,1191
200707,울산,계,,시도,1741
200707,경기,계,,시도,3883
200707,경기,수원시,41111,시(구 합산),149
200707,경기,수원시,41113,시(구 합산),149
200707,경기,수원시,41115,시(구 합산),149
200707,경기,수원시,41117,시(구 합산),149
200707,경기,성남시,41131,시(구 합산),0
200707,경기,성남시,41133,시(구 합산),0
200707,경기,성남시,41135,시(구 합산),0
200707,경기,의정부시,41150,시군구,133
200707,경기,안양시,41171,시(구 합산),0
200707,경기,안양시,41173,시(구 합산),0
200707,경기,부천시,41192,시(구 합산),80
200707,경기,부천시,41194,시(구 합산),80
200707,경기,부천시,41196,시(구 합산),80
200707,경기,부천시,41190,시(구 합산),80
200707,경기,광명시,41210,시군구,0
200707,경기,평택시,41220,시군구,180
200707,경기,동두천시,41250,시군구,62
200707,경기,안산시,41271,시(구 합산),0
200707,경기,안산시,41273,시(구 합산),0
200707,경기,고양시,41281,시(구 합산),292
200707,경기,고양시,41285,시(구 합산),292
200707,경기,고양시,41287,시(구 합산),292
200707,경기,과천시,41290,시군구,0
200707,경기,구리시,41310,시군구,58
200707,경기,남양주시,41360,시군구,537
200707,경기,오산시,41370,시군구,0
200707,경기,시흥시,41390,시군구,8
200707,경기,군포시,41410,시군구,0
200707,경기,의왕시,41430,시군구,0
200707,경기,하남시,41450,시군구,0
200707,경기,용인시,41461,시(구 합산),0
200707,경기,용인시,41463,시(구 합산),0
200707,경기,용인시,41465,시(구 합산),0
200707,경기,파주시,41480,시군구,196
200707,경기,이천시,41500,시군구,455
200707,경기,안성시,41550,시군구,460
200707,경기,김포시,41570,시군구,175
200707,경기,양주시,41630,시군구,168
200707,경기,여주시,41670,시군구,16
200707,경기,화성시,41591,시(구 합산),296
200707,경기,화성시,41593,시(구 합산),296
200707,경기,화성시,41595,시(구 합산),296
200707,경기,화성시,41597,시(구 합산),296
200707,경기,화성시,41590,시(구 합산),296
200707,경기,광주시,41610,시군구,
200707,경기,연천군,41800,시군구,337
200707,경기,포천시,41650,시군구,231
200707,경기,가평군,41820,시군구,50
200707,경기,양평군,41830,시군구,
200707,강원,계,,시도,6850
200707,충북,계,,시도,4263
200707,충남,계,,시도,10707
200707,전북,계,,시도,5289
200707,전남,계,,시도,5041
200707,경북,계,,시도,8541
200707,경남,계,,시도,12414
200707,제주,계,,시도,179
200708,서울,계,,시도,730
200708,서울,종로구,11110,시군구,89
200708,서울,중구,11140,시군구,0
200708,서울,용산구,11170,시군구,0
200708,서울,성동구,11200,시군구,0
200708,서울,광진구,11215,시군구,187
200708,서울,동대문구,11230,시군구,0
200708,서울,중랑구,11260,시군구,0
200708,서울,성북구,11290,시군구,404
200708,서울,강북구,11305,시군구,0
200708,서울,도봉구,11320,시군구,0
200708,서울,노원구,11350,시군구,0
200708,서울,은평구,11380,시군구,0
200708,서울,서대문구,11410,시군구,0
200708,서울,마포구,11440,시군구,0
200708,서울,양천구,11470,시군구,50
200708,서울,강서구,11500,시군구,0
200708,서울,구로구,11530,시군구,0
200708,서울,금천구,11545,시군구,0
200708,서울,영등포구,11560,시군구,0
200708,서울,동작구,11590,시군구,0
200708,서울,관악구,11620,시군구,0
200708,서울,서초구,11650,시군구,0
200708,서울,강남구,11680,시군구,0
200708,서울,송파구,11710,시군구,0
200708,서울,강동구,11740,시군구,0
200708,부산,계,,시도,9925
200708,대구,계,,시도,12075
200708,인천,계,,시도,635
200708,인천,중구,28110,시군구,0
200708,인천,동구,28140,시군구,0
200708,인천,미추홀구,28177,시군구,152
200708,인천,연수구,28185,시군구,0
