no,gu,biz_type,stage_now,zone,jibun,ara_id,location,households,정비구역지정,추진위,조합설립,사업시행인가,관리처분,착공,준공
74,남동구,주택재개발,착공,상인천초교주변구역,간석동 311-1번지 일원,BARA_0000000000091,"이화로39번길 12 일원(간석1동) 137,841.9㎡",2568,20071123,20110422,20091019,20110701,20210915,20251202,
73,제물포구,주택재개발,관리처분,서림구역,송림동 64-55번지 일원,BARA_0000000000021,"송림동 64,55번지 일원(19,477.1)",372,20220711,20060823,20230314,20221226,20241127,,
72,서해구,주택재개발,정비구역지정,서부여성회관역가좌동일원 / 정비구역후보지(23년 2차),가좌동171번지 일원,BARA_0000000000475,가좌동171번지 일원,1,,20260727,,,,,
71,서해구,주거환경개선,착공,석남3동(현지개량),석남동 322-75번지 일원,BARA_0000000000515,,,,,,,,,
70,서해구,주택재개발,정비구역지정,석남5 / 정비구역후보지(23년 1차),석남동 573-36번지 일원,BARA_0000000000471,석남동 573-36번지 일원,1,,,,,,,
69,서해구,주택재개발,정비구역지정,석남역남측 / 정비구역후보지(23년 2차),석남동 551번지 일원,BARA_0000000000476,석남동 551번지 일원,1,,,,,,,
68,연수구,주택재건축,착공,송도영남아파트구역,청학동 96-4번지 일원,BARA_0000000000083,"청학동 96-4번지(26,640)",649,20200720,20080623,20090724,20220707,20230419,20250328,
67,제물포구,주택재개발,관리처분,"송림1,2동구역",송림동 160번지 일원,BARA_0000000000022,송림동 160번지 일원,2992,20251027,20061204,20251121,20210521,20220530,,
66,제물포구,주택재개발,준공,송림3지구,송림6동 42-215번지 일원,BARA_0000000000023,"송림6동 42-215번지 일원(54,852.7)",1321,20180430,20050518,20090825,20110210,20210827,20220628,20250129
65,제물포구,주거환경개선,착공,송림4구역,"송림동 2, 4번지 일원",BARA_0000000000016,"송림동 2, 4번지 일원",1,20080804,,,20091204,,20241011,
64,제물포구,주택재개발,착공,송림6구역,송림동 31-3번지 일원,BARA_0000000000030,"송림동 31-3번지 일원(10,146.4)",294,20161114,20090724,20100316,20180426,20201204,20240521,
63,제물포구,주거환경개선,정비구역지정,송림6동(현지개량),송림동 33-1번지,BARA_0000000000550,,,,,,,,,
62,제물포구,주거환경개선,준공,송미로(현지개량),송미로23번길 일원,BARA_0000000000481,송미로23번길 일원,0,20211213,,,20221230,,20221008,20241203
61,제물포구,주택재개발,조합설립인가,송월구역,송월동1가 12-16번지 일원,BARA_0000000000004,송월동1가 12-16번지 일원,686,20090413,20070222,20090820,,,,
60,제물포구,주택재개발,사업시행인가,송월아파트구역,송월동1가 10-1번지 일원,BARA_0000000000005,송월동1가 10-1번지 일원,692,20080811,20110616,20200309,20241202,,,
59,제물포구,주택재건축,사업시행인가,"송현1,2차아파트구역",송현동 1번지 일원,BARA_0000000000026,송현동 1번지 일원,1,20100705,20080519,20110906,20250124,,,
