emd_cd10,sido_cd,sgg_cd,ym,workplaces,insured,notice_amount,file
1168011800,11,11680,2026-0,944,39362,14317195900, 내역_20260825
1162010100,11,11620,2026-0,876,16486,5348333880, 내역_20260825
1117013000,11,11170,2026-0,410,5346,1947483340, 내역_20260825
1165011000,11,11650,2026-0,45,3277,1493368220, 내역_20260825
1156013200,11,11560,2026-0,433,6484,2139209240, 내역_20260825
1117011100,11,11170,2026-0,47,575,184267200, 내역_20260825
1156013000,11,11560,2026-0,78,1068,352671880, 내역_20260825
1174010800,11,11740,2026-0,750,17422,5637549200, 내역_20260825
1141010100,11,11410,2026-0,110,3375,1176007700, 내역_20260825
4146310600,41,41463,2026-0,117,3551,1694574960, 내역_20260825
1174010500,11,11740,2026-0,313,5576,1908321780, 내역_20260825
4119610500,41,41196,2026-0,80,1138,366174660, 내역_20260825
1138010300,11,11380,2026-0,161,3355,1139386780, 내역_20260825
4119610700,41,41196,2026-0,816,9815,3497610520, 내역_20260825
1111012000,11,11110,2026-0,344,8882,4027438800, 내역_20260825
4148035022,41,41480,2026-0,43,509,159996860, 내역_20260825
1138010600,11,11380,2026-0,165,2020,643657880, 내역_20260825
4157025021,41,41570,2026-0,69,981,297060700, 내역_20260825
2812510200,28,28125,2026-0,27,414,151040940, 내역_20260825
1153010100,11,11530,2026-0,266,5941,1927701140, 내역_20260825
4127310500,41,41273,2026-0,766,15736,6302087840, 내역_20260825
1117010900,11,11170,2026-0,22,909,264110780, 내역_20260825
1156011600,11,11560,2026-0,148,7321,2060725380, 내역_20260825
4139013200,41,41390,2026-0,3503,61711,23795864280, 내역_20260825
4113510900,41,41135,2026-0,1168,85406,39656391920, 내역_20260825
4113510500,41,41135,2026-0,581,20845,9610076000, 내역_20260825
4157025626,41,41570,2026-0,921,13860,4837413740, 내역_20260825
4121010500,41,41210,2026-0,167,1308,422209540, 내역_20260825
1117012800,11,11170,2026-0,481,22977,10794862020, 내역_20260825
4150035033,41,41500,2026-0,7,135,47498340, 내역_20260825
1153011100,11,11530,2026-0,44,596,194457540, 내역_20260825
4159125335,41,41591,2026-0,37,608,237861900, 내역_20260825
4145012300,41,41450,2026-0,202,1957,675318860, 내역_20260825
4129010500,41,41290,2026-0,142,2133,705905220, 내역_20260825
4157034021,41,41570,2026-0,89,667,219490400, 내역_20260825
1153010300,11,11530,2026-0,44,784,232221280, 내역_20260825
4155035023,41,41550,2026-0,24,459,167078220, 내역_20260825
4128110600,41,41281,2026-0,154,1730,574776700, 내역_20260825
4159134025,41,41591,2026-0,226,2920,1114552000, 내역_20260825
1156011100,11,11560,2026-0,282,10801,3071812360, 내역_20260825
4148026225,41,41480,2026-0,134,1661,563007280, 내역_20260825
2817710500,28,28177,2026-0,786,19265,5148773780, 내역_20260825
1156012100,11,11560,2026-0,543,21537,7157663560, 내역_20260825
4159710600,41,41597,2026-0,1857,25367,9793136140, 내역_20260825
1156012900,11,11560,2026-0,395,11388,4764412020, 내역_20260825
4148025023,41,41480,2026-0,95,2568,898172260, 내역_20260825
1121510400,11,11215,2026-0,229,3943,1519226520, 내역_20260825
4180025327,41,41800,2026-0,23,240,88767100, 내역_20260825
1162010200,11,11620,2026-0,834,15947,5042237860, 내역_20260825
4113511000,41,41135,2026-0,318,13338,6546886280, 내역_20260825
1174010100,11,11740,2026-0,185,2214,617969320, 내역_20260825
1159010800,11,11590,2026-0,191,5731,2387641860, 내역_20260825
4121010400,41,41210,2026-0,665,12369,5329464860, 내역_20260825
1153010600,11,11530,2026-0,278,3600,1100839740, 내역_20260825
4122010300,41,41220,2026-0,174,6679,2608823260, 내역_20260825
4159125621,41,41591,2026-0,284,4357,1409207760, 내역_20260825
4117110100,41,41171,2026-0,1242,19496,6487356840, 내역_20260825
4127110300,41,41271,2026-0,529,6732,2010870240, 내역_20260825
4159131024,41,41591,2026-0,188,3371,1306411640, 내역_20260825
4157025628,41,41570,2026-0,39,417,132071460, 내역_20260825
4145011000,41,41450,2026-0,1019,10634,3393548180, 내역_20260825
1156011300,11,11560,2026-0,339,9196,2868516840, 내역_20260825
1174010300,11,11740,2026-0,150,20160,9979923560, 내역_20260825
1168011000,11,11680,2026-0,73,743,229769760, 내역_20260825
4122012000,41,41220,2026-0,157,4222,1531460660, 내역_20260825
4117310200,41,41173,2026-0,2357,44676,17476726800, 내역_20260825
4159325023,41,41593,2026-0,61,737,236682700, 내역_20260825
1111016900,11,11110,2026-0,57,990,332839240, 내역_20260825
1111012100,11,11110,2026-0,130,8765,4743942200, 내역_20260825
4148025624,41,41480,2026-0,31,468,150529780, 내역_20260825
4157036028,41,41570,2026-0,185,1946,673891900, 내역_20260825
4119410700,41,41194,2026-0,3,51,8275700, 내역_20260825
4113511400,41,41135,2026-0,584,19711,7831942420, 내역_20260825
4129010900,41,41290,2026-0,139,6447,2921242820, 내역_20260825
1159010200,11,11590,2026-0,358,4242,1312769300, 내역_20260825
1171011300,11,11710,2026-0,248,2957,928170880, 내역_20260825
4159134026,41,41591,2026-0,307,4093,1641558440, 내역_20260825
4145010900,41,41450,2026-0,782,8183,2635586820, 내역_20260825
4127310300,41,41273,2026-0,568,10143,4034287380, 내역_20260825
1153010700,11,11530,2026-0,201,3439,1045531360, 내역_20260825
1111012300,11,11110,2026-0,117,10511,5691648380, 내역_20260825
4157035024,41,41570,2026-0,73,928,332999440, 내역_20260825
2871025028,28,28710,2026-0,27,428,138994400, 내역_20260825
2820010100,28,28200,2026-0,919,16354,5538444080, 내역_20260825
4119210500,41,41192,2026-0,185,2169,747274040, 내역_20260825
4157035021,41,41570,2026-0,29,274,96970740, 내역_20260825
4139011200,41,41390,2026-0,184,1364,455887660, 내역_20260825
4119210400,41,41192,2026-0,656,13959,5392126760, 내역_20260825
2827511000,28,28275,2026-0,1414,24005,8586793720, 내역_20260825
1111016300,11,11110,2026-0,57,538,166271800, 내역_20260825
1111016000,11,11110,2026-0,123,6875,2966852700, 내역_20260825
4159125626,41,41591,2026-0,90,1503,585941920, 내역_20260825
1111015400,11,11110,2026-0,72,444,154361520, 내역_20260825
1156012400,11,11560,2026-0,329,4906,1848940000, 내역_20260825
1156010400,11,11560,2026-0,70,1430,534037400, 내역_20260825
