complex_id,pnu,bldNm,platArea,archArea,totArea,vlRatEstmTotArea,vlRat,bcRat,hhldCnt,mainBldCnt,useAprDay,n_items
1282,1117012900104040000,한가람아파트,57016.5,13620.405,271618.555,204257.18,358.17,23.88,297,20, ,1
1303,1117013300102710002,,,,,,,,,,,0
1312,1120010200110730000,,,,,,,,,,,0
1335,1120010500108180000,청계현대아파트,32262.8,6452.98,137198.84,107953.0,334.61,20,1017,12, ,1
1342,1120010700103800000,서울숲리버뷰자이,38351,7285.89,165016.48,107743.13,280.94,19,1034,9,20180622,1
1349,1120010700103470000,행당동 대림아파트,118458.2,27101.24,405203.72,301122.99,254.2,22.87,3649,41, ,1
1351,1120010700103460000,행당 한진타운,77198.8,15388.15,322555.16,227430.35,294.6,19.93,2303,25, ,1
1353,1120010700103470000,행당동 대림아파트,118458.2,27101.24,405203.72,301122.99,254.2,22.87,3649,41, ,1
1355,1120010700103490000,서울숲 한신 더 휴,47777.2,8866.66,201282.93,141401.06,295.96,18.56,1410,21,20031223,1
1358,1120010800100150000,대림 강변 타운,37667.4,7376.956,161258.06,111118.47,295,19.58,1174,16,20011026,1
1362,1120010900118230000,이편한세상금호파크힐스,48623.9,10307.262,195524.342,123455.267,253.9,21.2,1193,18,20190509,1
1365,1120010900106320000,벽산아파트,22890,3498.71,68380.92,53184.65,232.35,15.28,1232,5,20011203,1
1366,1120010900106330000,벽산아파트,84501.7,13804.64,267104.84,185114.61,219.07,16.34,1807,22,20011203,1
1367,1120011000100010000,신금호파크자이,45156.3,8273.87,153668.68,98294.69,217.68,18.32,1156,11,20160420,1
1374,1120011100113310000,두산아파트,53434.9,11491.84,144535.75,0.0,249.19,21.65,1318,17, ,1
1379,1120011200108000000,금호동 대우 아파트,43239.8,9927.22,185967.97,125488.46,290.22,22.96,1239,16, ,1
1386,1120011300105280000,이편한세상옥수파크힐스,60032.7,12221.53,192776.91,125433.28,208.94,20.39,1218,17,20161109,1
1389,1120011300102500000,옥수삼성아파트,42539.5,7908.093,151254.306,112252.398,263.88,18.59,1117,11, ,1
1394,1120011300105610000,래미안 옥수 리버젠,65362.3,15017.1,234749.48,155706.89,238.22,22.98,1511,17,20121228,1
1455,1121510300106310001,현대프라임아파트,46623.9,10472.35,246440.0,185979.16,398.89,22.46,1592,17, ,1
1458,1121510300106110000,구의현대2단지아파트,54083.04,8917.99,213035.37,166121.35,307.15,16.49,1606,18, ,1
1472,1121510400104840000,광장현대3단지아파트,39775,6914.3,116926.49,99377.41,249.85,17.38,1056,14, ,1
1479,1121510400105770000,광장현대파크빌,34682.4,7176.34,146803.89,109094.31,314.55,20.69,1170,15, ,1
1504,1121510500102270007,더샵스타시티,60235.4,15419.671,417948.182,249916.705,414.9,25.6,1170,5,20070122,1
1538,1123010200107980000,청량리역 한양수자인 그라시엘,15988.4,9495.6,234736.0,159572.47,998.05,59.39,1152,6,20230602,1
1540,1123010200107960000,래미안 엘리니티,43057.4,10258.35,150512.02,97593.73,226.66,23.82,1048,17,20220830,1
