bnhhSe,cddcCode,cddcNm,changeDate,creatDate,edcSport,edcSportNm,fondDate,fondType,insttCode,insttNm,latitude,lnmadr,longitude,operSttus,rdnmadr,referenceDate,schoolId,schoolNm,schoolSe
분교,7530000,경기도교육청,2025-10-25,2013-11-29,7731000,경기도양평교육지원청,1936-04-15,공립,B554398,한국교육시설안전원,37.48641096,경기도 양평군 양동면 고송리 821-1,127.7005221,운영,경기도 양평군 양동면 고송길 32-16,2026-03-20,B000004476,양동초등학교고송분교장,초등학교
본교,8000000,충청북도교육청,2025-10-25,2013-11-29,8021000,충청북도충주교육지원청,2023-03-06,공립,B554398,한국교육시설안전원,37.01256142,충청북도 충주시 중앙탑면 용전리 701,127.8280652,운영,충청북도 충주시 중앙탑면 기업도시로 163,2026-03-20,B000026226,중앙탑고등학교,고등학교
본교,7530000,경기도교육청,2025-10-25,2013-11-29,7751000,경기도용인교육지원청,2006-03-01,공립,B554398,한국교육시설안전원,37.19144213,경기도 용인시 처인구 이동읍 천리 1132,127.2008278,운영,경기도 용인시 처인구 이동읍 백옥대로587번길 54,2026-03-20,B000009357,용천중학교,중학교
본교,8750000,경상북도교육청,2025-10-25,2013-11-29,8781000,경상북도김천교육지원청,2014-03-01,공립,B554398,한국교육시설안전원,36.12224391,경상북도 김천시 율곡동 649,128.1870968,운영,경상북도 김천시 용전1로 51,2026-03-20,B000024009,율곡초등학교,초등학교
본교,7150000,부산광역시교육청,2025-10-25,2013-11-29,7191000,부산광역시동래교육지원청,1977-03-04,공립,B554398,한국교육시설안전원,35.19429438,부산광역시 동래구 사직동 977-5,129.0553468,운영,부산광역시 동래구 사직로 91,2026-03-20,B000008541,사직여자중학교,중학교
본교,8490000,전라남도교육청,2025-10-25,2013-11-29,8611000,전라남도화순교육지원청,1935-04-28,공립,B554398,한국교육시설안전원,34.97962383,전라남도 화순군 한천면 한계리 183,127.0039893,운영,전라남도 화순군 한천면 청계길 26,2026-03-20,B000006667,한천초등학교,초등학교
본교,7310000,인천광역시교육청,2025-10-25,2013-11-29,7341000,인천광역시동부교육지원청,1994-03-01,공립,B554398,한국교육시설안전원,37.42099336,인천광역시 연수구 연수동 541-1,126.6792927,운영,인천광역시 연수구 먼우금로 273,2026-03-20,B000003063,인천문남초등학교,초등학교
분교,8490000,전라남도교육청,2025-10-25,2013-11-29,8701000,전라남도완도교육지원청,1937-04-30,공립,B554398,한국교육시설안전원,34.20074067,전라남도 완도군 청산면 모도리 1209,126.7536425,운영,전라남도 완도군 청산면 대모도12번길 12-23,2026-03-20,B000006835,청산초등학교모도분교장,초등학교
본교,8490000,전라남도교육청,2025-10-25,2013-11-29,8611000,전라남도화순교육지원청,1971-03-10,공립,B554398,한국교육시설안전원,35.003226,전라남도 화순군 사평면 벽송리 50-4,127.0880523,운영,전라남도 화순군 사평면 외남로 54,2026-03-20,B000010559,화순사평중학교,중학교
본교,7801000,강원특별자치도교육청,2025-10-25,2013-11-29,7812000,강원특별자치도춘천교육지원청,1965-02-24,사립,B554398,한국교육시설안전원,37.89496596,강원특별자치도 춘천시 동면 장학리 산36,127.7564189,운영,강원특별자치도 춘천시 동면 장학길 24,2026-03-20,B000009739,강원중학교,중학교
본교,7310000,인천광역시교육청,2025-10-25,2013-11-29,7341000,인천광역시동부교육지원청,1973-03-03,사립,B554398,한국교육시설안전원,37.46923037,인천광역시 남동구 간석동 산26-1,126.7130184,운영,인천광역시 남동구 용천로205번길 42,2026-03-20,B000012259,신명여자고등학교,고등학교
본교,8750000,경상북도교육청,2025-10-25,2013-11-29,8761000,경상북도포항교육지원청,1988-03-01,공립,B554398,한국교육시설안전원,36.01983557,경상북도 포항시 북구 죽도동 652-1,129.3530687,운영,경상북도 포항시 북구 중흥로161번길 16,2026-03-20,B000006924,대잠초등학교,초등학교
본교,7530000,경기도교육청,2025-10-25,2013-11-29,7681000,경기도파주교육지원청,1955-05-03,사립,B554398,한국교육시설안전원,37.8493834,경기도 파주시 법원읍 법원리 378,126.8811345,운영,경기도 파주시 법원읍 사임당로905번길 10,2026-03-20,B000012729,율곡고등학교,고등학교
본교,7530000,경기도교육청,2025-10-25,2013-11-29,7731000,경기도양평교육지원청,1967-03-02,사립,B554398,한국교육시설안전원,37.42168348,경기도 양평군 양동면 쌍학리 218-1,127.755652,운영,경기도 양평군 양동면 학둔지윗길 47-7,2026-03-20,B000012663,양동고등학교,고등학교
본교,7310000,인천광역시교육청,2025-10-25,2013-11-29,7321000,인천광역시남부교육지원청,1995-03-01,공립,B554398,한국교육시설안전원,37.47070292,인천광역시 중구 율목동 1-27,126.6366135,운영,인천광역시 중구 참외전로 192,2026-03-20,B000011418,인천반도체고등학교,고등학교
본교,7530000,경기도교육청,2025-10-25,2013-11-29,7642000,경기도군포의왕교육지원청,1994-03-02,공립,B554398,한국교육시설안전원,37.36039563,경기도 군포시 산본동 1150-1,126.9180787,운영,경기도 군포시 수리산로 125,2026-03-20,B000004044,수리초등학교,초등학교
본교,8490000,전라남도교육청,2025-10-25,2013-11-29,8531000,전라남도나주교육지원청,1939-07-10,공립,B554398,한국교육시설안전원,34.96366649,전라남도 나주시 왕곡면 월천리 206,126.654988,운영,전라남도 나주시 왕곡면 나주서부로 554,2026-03-20,B000006541,왕곡초등학교,초등학교
본교,7530000,경기도교육청,2025-10-25,2013-11-29,7751000,경기도용인교육지원청,1908-04-01,공립,B554398,한국교육시설안전원,37.23708312,경기도 용인시 처인구 양지면 양지리 350,127.2844906,운영,경기도 용인시 처인구 양지면 교동로 30,2026-03-20,B000004017,양지초등학교,초등학교
본교,7380000,광주광역시교육청,2025-10-25,2013-11-29,7401000,광주광역시서부교육지원청,1924-07-03,공립,B554398,한국교육시설안전원,35.08254862,광주광역시 남구 지석동 223,126.8329557,운영,광주광역시 남구 고싸움로152번길 1,2026-03-20,B000003286,대촌중앙초등학교,초등학교
본교,7430000,대전광역시교육청,2025-10-25,2013-11-29,7451000,대전광역시서부교육지원청,2002-03-01,공립,B554398,한국교육시설안전원,36.38080834,대전광역시 유성구 지족동 850,127.3173106,운영,대전광역시 유성구 노은서로 238,2026-03-20,B000003472,대전지족초등학교,초등학교
본교,8750000,경상북도교육청,2025-10-25,2013-11-29,8811000,경상북도영주교육지원청,1930-11-01,공립,B554398,한국교육시설안전원,36.77610603,경상북도 영주시 장수면 반구리 981,128.576552,운영,경상북도 영주시 장수면 장수로 35,2026-03-20,B000007146,장수초등학교,초등학교
본교,7010000,서울특별시교육청,2025-10-25,2013-11-29,7061000,서울특별시중부교육지원청,1988-09-14,공립,B554398,한국교육시설안전원,37.59154805,서울특별시 종로구 명륜1가 1,126.9984363,운영,서울특별시 종로구 혜화로 63,2026-03-20,B000011789,서울과학고등학교,고등학교
본교,8750000,경상북도교육청,2025-10-25,2013-11-29,8841000,경상북도문경교육지원청,1929-04-15,공립,B554398,한국교육시설안전원,36.7715572,경상북도 문경시 동로면 노은리 155-2,128.3153048,운영,경상북도 문경시 동로면 노은2길 4,2026-03-20,B000007223,동로초등학교,초등학교
본교,8490000,전라남도교육청,2025-10-25,2013-11-29,8561000,전라남도담양교육지원청,1980-03-03,사립,B554398,한국교육시설안전원,35.23847859,전라남도 담양군 창평면 창평리 232,127.0123953,운영,전라남도 담양군 창평면 창평로 582,2026-03-20,B000013103,창평고등학교,고등학교
본교,8000000,충청북도교육청,2025-10-25,2013-11-29,8071000,충청북도영동교육지원청,1932-05-23,공립,B554398,한국교육시설안전원,36.09151431,충청북도 영동군 학산면 서산리 738-1,127.6869653,운영,충청북도 영동군 학산면 서산동길 12-9,2026-03-20,B000005427,학산초등학교,초등학교
본교,7530000,경기도교육청,2025-10-25,2013-11-29,7541000,경기도수원교육지원청,1997-03-07,공립,B554398,한국교육시설안전원,37.26731936,경기도 수원시 권선구 호매실동 388-7,126.9563936,운영,경기도 수원시 권선구 매실로 48,2026-03-20,B000003665,호매실초등학교,초등학교
본교,8000000,충청북도교육청,2025-10-25,2013-11-29,8071000,충청북도영동교육지원청,1923-06-01,공립,B554398,한국교육시설안전원,36.21507951,충청북도 영동군 추풍령면 추풍령리 375-1,127.9966215,운영,충청북도 영동군 추풍령면 추풍령로2길 7,2026-03-20,B000005434,추풍령초등학교,초등학교
본교,8140000,충청남도교육청,2025-10-25,2013-11-29,8191000,충청남도서산교육지원청,1974-06-07,사립,B554398,한국교육시설안전원,36.85930055,충청남도 서산시 지곡면 화천리 908,126.4324993,운영,충청남도 서산시 지곡면 화천3길 56,2026-03-20,B000012927,서일고등학교,고등학교
본교,8750000,경상북도교육청,2025-10-25,2013-11-29,8941000,경상북도칠곡교육지원청,1935-05-17,공립,B554398,한국교육시설안전원,35.98491099,경상북도 칠곡군 기산면 죽전리 269-1,128.3814201,운영,경상북도 칠곡군 기산면 주산로 1195,2026-03-20,B000007380,약동초등학교,초등학교
본교,7010000,서울특별시교육청,2025-10-25,2013-11-29,7134000,서울특별시성동광진교육지원청,1985-04-26,공립,B554398,한국교육시설안전원,37.56280251,서울특별시 성동구 마장동 405-45,127.0403512,운영,서울특별시 성동구 마조로11길 18,2026-03-20,B000008414,동마중학교,중학교
본교,8750000,경상북도교육청,2025-10-25,2013-11-29,8761000,경상북도포항교육지원청,2010-03-01,공립,B554398,한국교육시설안전원,36.07987036,경상북도 포항시 북구 양덕동 1851,129.4032233,운영,경상북도 포항시 북구 양덕로 20-5,2026-03-20,B000006914,포항양덕초등학교,초등학교
본교,7530000,경기도교육청,2025-10-25,2013-11-29,7751000,경기도용인교육지원청,2001-08-20,공립,B554398,한국교육시설안전원,37.31616174,경기도 용인시 수지구 풍덕천동 1172,127.0955107,운영,경기도 용인시 수지구 진산로66번길 20,2026-03-20,B000003991,풍천초등학교,초등학교
본교,7310000,인천광역시교육청,2025-10-25,2013-11-29,7321000,인천광역시남부교육지원청,1996-03-02,공립,B554398,한국교육시설안전원,37.43903057,인천광역시 미추홀구 학익동 688-1,126.6633844,운영,인천광역시 미추홀구 한나루로358번길 23-22,2026-03-20,B000012234,학익고등학교,고등학교
